algo,num_seeds,seeds,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std,BraTS_acc_mean,BraTS_acc_std,Shanghai_acc_mean,Shanghai_acc_std,Figshare_acc_mean,Figshare_acc_std,Brisc2025_acc_mean,Brisc2025_acc_std
full,1,42,0.803082191780822,0.0,0.795241650670315,0.0,0.75,0.0,0.5833333333333334,0.0,0.8583333333333333,0.0,0.771875,0.0
no_combo_prototype,1,42,0.7671232876712328,0.0,0.7675055309061766,0.0,0.75,0.0,0.5,0.0,0.7375,0.0,0.8,0.0
no_head_calibration,1,42,0.7328767123287672,0.0,0.7079031421275777,0.0,0.75,0.0,0.5833333333333334,0.0,0.6625,0.0,0.790625,0.0
no_modality_gate,1,42,0.797945205479452,0.0,0.780307369169831,0.0,0.5,0.0,0.8333333333333334,0.0,0.8166666666666667,0.0,0.79375,0.0
no_proto_loss,1,42,0.6952054794520548,0.0,0.6803685555261191,0.0,0.5833333333333334,0.0,0.5833333333333334,0.0,0.5541666666666667,0.0,0.809375,0.0
no_teacher,1,42,0.803082191780822,0.0,0.796716939034299,0.0,0.8333333333333334,0.0,0.75,0.0,0.7416666666666667,0.0,0.85,0.0
uniform_head,1,42,0.8133561643835616,0.0,0.8084841301141494,0.0,0.75,0.0,0.8333333333333334,0.0,0.8375,0.0,0.796875,0.0
