algo,num_seeds,seeds,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std,BraTS_acc_mean,BraTS_acc_std,Shanghai_acc_mean,Shanghai_acc_std,Figshare_acc_mean,Figshare_acc_std,Brisc2025_acc_mean,Brisc2025_acc_std
fedamm,3,42+43+44,0.791095890410959,0.0013981105837803584,0.7853252394084556,0.004017832873491291,0.8333333333333334,0.06804138174397716,0.5277777777777778,0.039283710065919325,0.7833333333333333,0.01178511301977575,0.8052083333333334,0.00736569563735987
fedmfg,3,42+43+44,0.7950913242009133,0.006304429804330633,0.7898661956580396,0.0041410591660055686,0.8055555555555557,0.039283710065919325,0.5555555555555556,0.039283710065919325,0.7819444444444444,0.0629459399645814,0.8135416666666666,0.03445382376779421
fedmm,3,42+43+44,0.8213470319634704,0.005293161241721277,0.8183943116014394,0.005962747275139433,0.7777777777777777,0.10393492741038726,0.6666666666666666,0.11785113019775792,0.7986111111111112,0.022652092264305652,0.8458333333333333,0.012586506222494338
fedproto,3,42+43+44,,,,,,,,,,,,
local,3,42+43+44,0.714041095890411,0.06591909779082246,0.7047774019524115,0.0714282941690583,0.611111111111111,0.0785674201318386,0.5,0.0,0.8013888888888889,0.01093612204723864,0.6604166666666667,0.11815457448707697
